Tareque Anu,value,MZI,value,Abu Hena Md Ashraful Islam,value,Abdul Gaffar,value,Nir Shondhani,value,Hasan Mahbub,value,Wasim Faruk,value,Niyaz Morshed,value,Emon Jubayer,value,Mahi Rahi,value,Kandari Athorbo,value
থেকে শুরু করে,39,আমার মনে হয়,41,ব্লগে প্রকাশ করলাম,30,বাংলার গুল্ম তরু,181,বুঝতে পারছি না,15,ঘুম থেকে উঠে,14,মাননীয় প্রধান মন্ত্রী,34,২০১০ ডাবলিন আয়ারল্যান্ড,16,সাংবাদিক মোশতাক আন্দালিব,48,মুসলমানদের ১০০১টি আবিস্কার,108,ব্লগ লিখেছেনঃ মাস,45
একের পর এক,34,হতে পারে না,34,ব্লগার বন্ধুরা যারা,29,গুল্ম তরু লতা,181,জানি না কিন্তু,14,তার কাছ থেকে,14,একের পর এক,32,২০১২ গ্লাসগো যুক্তরাজ্য,13,চুপ করে থাকে,31,উত্তর না দিয়ে,20,লিখেছেনঃ মাস সপ্তাহ,38
ইনাম আল হক,23,করতে পারি না,33,জন্য ব্লগে প্রকাশ,29,তরু লতা গুল্ম,77,করা যায় না,14,কী মনে করে,13,প্রধান মন্ত্রী শেখ,23,bbc co uk,12,মোহাম্মদ মোজাম্মেল হোসেন,25,Click This Link,20,সামহোয়্যার ইন ব্লগ,23
প্রথম বারের মত,21,করতে পারবে না,32,তাদের জন্য ব্লগে,29,বাংলার তরু লতা,77,দিনের পর দিন,13,আছে কী না,13,কোন না কোন,22,করতে শুরু করে,10,বলে মনে হল,25,আবিস্কার 1001 Inventions,18,Click This Link,22
ইনাম আল হকের,21,শুধু তাই নয়,32,প্রকাশিত ব্লগার বন্ধুরা,28,তরু লতা ভাঁটফুল,20,কেউ জানে না,11,মনে হয় না,12,বেগম খালেদা জিয়ার,20,১৭ এপ্রিল ২০১২,10,ইন্সপেক্টর মোহাম্মদ মোজাম্মেল,25,১০০১টি আবিস্কার 1001,18,শে ডিসেম্বর ২০০৫,21
আমাদের যাত্রা শুরু,15,আমার জানা নেই,30,পড়েননি তাদের জন্য,27,লম্বা হতে পারে,20,যে কোন সময়,11,সকালে ঘুম থেকে,12,পারে দেবি শেঠি,18,থেকে শুরু করে,10,সাব ইন্সপেক্টর মোহাম্মদ,25,1001 Inventions Muslim,18,হত্যা করা হয়,20
img 6x4 img,15,সত্যি কথা বলতে,29,সংখ্যায় প্রকাশিত ব্লগার,25,তরু লতা কালকসুন্দা,19,ছিল না কিন্তু,11,আমি জানি না,12,থেকে শুরু করে,16,http www espncricinfo,9,কাল্ট অভ আহরিমান,24,Hritage in Our,18,সামহোয়্যার ইন ব্লগের,19
সেই সাথে আছে,14,আমি জানি না,29,ফিস ফিস করে,22,ইঞ্চি লম্বা হয়,19,চোখ বন্ধ করে,11,একের পর এক,12,দেবি শেঠি না,16,www bbc co,9,মরিয়ম বেগম বললেন,24,এক গ্লাস পানি,18,www somewhereinblog net,19
যাত্রা শুরু হল,13,এডমিন নোট লেখাটি,26,মাথা নিচু করে,20,লতা কালকসুন্দা কালকসিন্দা,19,করা যাবে না,10,দিনের পর দিন,11,আক্রান্ত হবার সম্ভাবনা,14,করতে পারে না,9,ডা স্মরণজিৎ চক্রবর্তী,22,Muslim Hritage in,18,somewhereinblog net blog,18
এবং সেই সাথে,12,এই দেশের মানুষ,25,যারা পড়েননি তাদের,19,রং গাঢ় সবুজ,18,হতে পারে না,10,চিৎকার করে ওঠে,10,মন্ত্রী শেখ হাসিনা,14,www espncricinfo com,9,ইন্সপেক্টর সোহরাব আলী,21,Inventions Muslim Hritage,18,http www somewhereinblog,18
কোন না কোন,12,নোট লেখাটি প্রথম,24,বন্ধুরা যারা পড়েননি,19,মাথা উঁচু করে,18,কথা মনে পড়লো,9,মনে হয় তার,10,আইন শৃংখলা রক্ষা,13,লেখাটা কত দূর,9,কী মনে করে,20,in Our World,18,বঙ্গবন্ধু শেখ মুজিবুর,17
শুরু হল আমাদের,11,নিউক্লিয়ার শক্তি কেন্দ্র,24,রি পোস্ট গল্পঃ,17,ফুট পর্যন্ত লম্বা,17,করতে পারবে না,9,এসে যায় না,10,মুক্ত মত প্রকাশের,12,http www bbc,9,মেজর ইফতেখার হায়দার,18,মাথা নিচু করে,17,থেকে শুরু করে,17
বি এম টি,11,লেখাটি প্রথম আলো,24,এক সপ্তাহ পর,17,কালকসুন্দা কালকসিন্দা বাংলার,17,থেকে শুরু করে,9,বলা যায় না,10,শেঠি না প্রশ্ন,12,জন্যে আবেদন করতে,9,রাহাত কবির এর,18,বুকশপ কিংবা বুকসেলিং,15,মনে হচ্ছে যেন,16
ধারণা করা হয়,11,করতে পারে না,24,বিড় বিড় করে,17,আগের পর্ব বাংলার,17,একের পর এক,9,আমার মনে হয়,10,সজীব ওয়াজেদ জয়,11,তা না হলে,9,মনে পড়ে গেল,18,বইয়ের দোকান বুকশপ,15,বলা যেতে পারে,16
প্রথম মানুষ হিসেবে,11,আমরা সবাই জানি,24,থর থর করে,15,এই সিরিজের অন্য,17,কোন সন্দেহ নেই,8,আমার দিকে তাকিয়ে,10,স্বার্থ হাসিলের জন্য,11,ওয়েব সাইট http,8,ভালো লাগে না,16,আবিস্কার বীজগনিত আলজেবরা,15,ব্লগার আমিনুর রহমান,15
DARWIN The Voyage,10,প্রথম আলো তে,24,এই লেখাটি মাসিক,14,পর্ব বাংলার তরু,17,করে বসে আছে,8,থেকে বের হয়ে,9,তথ্য যোগাযোগ প্রযুক্তি,11,আমার লেখাটা কত,8,কাজী রফিকুল হক,16,দোকান বুকশপ কিংবা,15,লিখেছেনঃ বছর মাস,14
হাজার বছর ধরে,10,কী হতে পারে,23,মৌচাকে ঢিল পত্রিকার,14,লতা ভাঁটফুল বাংলার,17,ফিসফিস করে বললো,8,করা যাবে না,9,হৃদরোগে আক্রান্ত হবার,10,বৃটেন এবং আয়ারল্যান্ডে,8,অধ্যাপক কাজী রফিকুল,15,১০০১টি আবিস্কার বীজগনিত,15,ব্লগার মামুন রশিদ,14
নাম না জানা,10,ফাঁস হয়ে যাওয়া,21,শুরু হয়ে গেল,14,ভাঁটফুল বাংলার গুল্ম,17,ঘুম থেকে উঠে,8,করা যেতে পারে,9,দেবি শেঠি হ্যাঁ,10,স্কলারশিপ দিয়ে থাকে,8,টুক টুক টুক,15,নিচু করে বসে,14,শেখ মুজিবুর রহমান,14
বাংলাদেশ বার্ড ক্লাবের,10,থেকে শুরু করে,21,ঠিক এই সময়,14,গুল্ম জাতীয় উদ্ভিদ,16,খারাপ হয়ে গেল,8,করতে পারবে না,9,জঙ্গি সংগঠন ইসলামিক,10,শাহজালাল বিজ্ঞান প্রযুক্তি,7,ফিসফিস করে বলল,14,আবিস্কার ফার্মেসী মুসলমানদের,14,ব্লগ লিখেছেনঃ বছর,14
The Voyage of,10,কথা বলতে কী,20,মাসিক মৌচাকে ঢিল,14,তরু লতা আকন্দ,16,ছাড়া আর কেউ,7,করতে পারে না,9,হতে পারে দেবি,10,জমা দিতে হবে,7,বুকটা ধক করে,14,ফার্মেসী মুসলমানদের ১০০১টি,14,বিকল্প গণমাধ্যম হিসেবে,13
CHARLES DARWIN The,10,তখন হঠাৎ করে,19,মায়ের হাতে মার,13,করতে পারে না,15,তোমার কাছ থেকে,7,মনে হচ্ছে না,9,হবার সম্ভাবনা বেশি,10,co uk news,7,Click This Link,14,১০০১টি আবিস্কার ফার্মেসী,14,করা যেতে পারে,13
করা হয় নি,10,কথা বলা হয়েছে,19,আমি বললাম না,13,হে হে হে,15,বন্ধ করে দিল,7,দেয়া যায় না,9,নেত্রী বেগম খালেদা,10,সাইট http www,7,লেফটেনেন্ট কর্নেল ইকবাল,14,আবিস্কার বইয়ের দোকান,13,এক কাপ চা,13
Voyage of Beagle,10,জানি না কিন্তু,18,উত্তর বার্তা পত্রিকার,13,কালকসিন্দা বাংলার গুল্ম,15,তথ্য প্রকাশের ফলে,7,সাথে কথা বলতে,9,শৃংখলা রক্ষা বাহিনী,9,উপর ভিত্তি করে,7,প্রোফেসর আশরাফি বললেন,14,রাত বারোটার মেইল,13,জেনারেল জিয়াউর রহমান,13
সি আই এর,9,থেকে অনেক বেশি,18,সাথে কথা বলতে,13,এদের দেখা মেলে,14,হৈ হৈ করে,7,একে অপরের সাথে,9,সংগঠন ইসলামিক স্টেট,9,টিউশন ফিস এবং,6,খান মোহাম্মদ ঈসমাইল,14,নির্যাতনের শিকার হন,13,থেকে বের হয়ে,12
চেয়ে অনেক অনেক,9,এই দেশের মানুষের,18,মাসিক উত্তর বার্তা,13,আকন্দ বাংলার গুল্ম,14,বছরের পর বছর,7,করার চেষ্টা করি,9,জীবন দিতে হয়,9,html http www,6,মরিয়ম বেগম এর,13,World মুসলমানদের ১০০১টি,13,করা হয় এবং,12
আর সেই সাথে,9,মজার ব্যাপার হচ্ছে,17,থেকে বের করে,12,তরু লতা কচুরিপানা,14,হো হো করে,7,ভালো লাগছে না,9,দায় স্বীকার করে,9,আবেদন করতে চান,6,কর্নেল ইকবাল মাহমুদ,13,en wikipedia org,13,আয়াত আল্লাহ বলছেন,12
সেমি ঠোঁট সেমি,9,ঠিক সে রকম,17,প্রকাশ করলাম গল্পঃ,11,লতা আকন্দ বাংলার,14,আর কেউ নেই,7,বড় বড় কথা,8,বেগম খালেদা জিয়া,9,হতে পারে সেটা,6,নুরুল ইসলাম ভাই,13,যৌন নির্যাতনের শিকার,13,নং আয়াত আল্লাহ,12
হাজার বছর আগে,9,আমার মনে আছে,17,হয়ে গেল এই,11,লতা কচুরিপানা বাংলার,13,চুপ করে বসে,7,করতে পারবো না,8,ভাবেই প্রশ্ন আসে,9,করতে চান তারা,6,বোঝা গেল না,13,wikipedia org wiki,13,একের পর এক,12
পাওয়া যায় না,9,আর কী হতে,17,বন্ধুরা যারা এটি,11,হা ডু ডু,13,কোন তথ্য প্রকাশের,7,এই যে আমি,8,মাননীয় বিরোধী দলীয়,9,বড় ধরনের ভূমিকম্প,6,খান মোহাম্মদ সোহরাব,13,Our World মুসলমানদের,13,হযরত লুত আঃ,12
সোম বাহাদুর তামাং,9,মনে হয় না,17,মতি ভাইয়ের বাসায়,10,তরু লতা বৈঁচি,13,ঘর থেকে বেরিয়ে,7,দশ লাখ টাকা,8,না কোন ভাবে,9,নর্থ সাউথ বিশ্ববিদ্যালয়ের,6,অধ্যাপক আনাল হক,12,হতে শুরু করেছে,13,ঈদ মোবারক ব্লগার,11
কথা মনে পড়ে,9,করা যাবে না,16,ঘর থেকে বেরিয়ে,10,আব্দুল গাফফার রনি,13,আমি জানি না,7,হয়ে গেছে এখন,8,একটা বড় প্রশ্ন,8,একজন রুমানা মঞ্জুর,6,ব্রিগেডিয়ার এস্তেমদাদ ওয়াজেদ,12,১০০১টি আবিস্কার বইয়ের,13,হজরত ঈসা আঃ,11
বৈজ্ঞানিক নামের অর্থ,9,নিয়ে কথা বলতে,16,এই দুই পেশার,10,আমার জানা নেই,13,করতে পারে না,7,পছন্দ করে না,8,স্বাভাবিক ভাবেই প্রশ্ন,8,শুরু করে কিন্তু,6,১২ টা বেজে,12,মজিদ মিয়া সোহেলকে,12,ব্লগার দুর্যোধন ব্লগার,11
ঠোঁট সেমি পা,9,কয়েক বছর আগে,16,বউ চুরির গল্প,10,পোস্টগুলো বাংলার গুল্ম,13,বাস থেকে নেমে,7,কোন মানে হয়,8,হউক না কেন,8,ঠিক আগ মুহূর্তে,6,বুঝতে পারছি না,12,১০০১টি আবিস্কার উইন্ডমিল,12,ছাড়া আর কিছুই,11
না বললেই চলে,9,শহীদ জননী জাহানারা,16,সত্য ঘটনা অবলম্বনে,10,কচুরিপানা বাংলার গুল্ম,13,দেরী না করে,7,তার সাথে আমার,8,ছাড়া আর কিছুই,8,ঘুম থেকে উঠে,6,নুরুল ইসলাম ভাইয়ের,12,http en wikipedia,12,ভিজিটর সংখ্যা প্রায়,10
হয় নি কিন্তু,9,এই দেশের মাটিতে,15,কথা না বলে,10,অন্য পোস্টগুলো বাংলার,13,কিনা জানি না,7,হোক না কেন,8,আমাদের মহান মুক্তিযুদ্ধ,8,কিছু বলে না,6,সুলতান আলী বেগ,12,করে দেয়া হয়,12,দুর্যোধন ব্লগার কাল্পনিক,10
কোন সন্দেহ নেই,8,সব বিশ্ববিদ্যালয় মিলে,15,মুখ গম্ভীর করে,10,সিরিজের অন্য পোস্টগুলো,13,Dec 16 2011,7,করা যায় না,8,মন্ত্রী শেখ হাসিনার,8,হতে পারে না,6,অভ আহরিমান এর,12,সুযোগ না দিয়েই,12,মাথায় হাত বুলিয়ে,10
চুলু ওয়েস্ট জয়,8,করা যায় না,15,মুখের দিকে তাকিয়ে,9,লতা বৈঁচি বাংলার,12,পাওয়া যাবে না,7,পাওয়া যাবে না,8,আমাদের স্বাধীনতা আমাদের,8,উল্লেখ্য যে এই,6,ধক করে ওঠে,12,১০০১টি আবিস্কার টিকা,12,মাসিক ভিজিটর সংখ্যা,10
নামের অর্থ বাংলার,8,তা না হলে,15,শুরু করে দিল,9,তন্ন তন্ন করে,12,বন্ধ হয়ে গেল,7,যায় কী না,8,আইনশৃঙ্খলা রক্ষাকারী বাহিনী,8,তবে এটাও ঠিক,6,ফোন অফ করে,11,ইসলাম ধর্ম গ্রহন,12,ছবি ব্লগ ব্লগার,10
করতে পারে না,8,গাইড বই থেকে,15,মার খাওয়ার ভয়ে,9,পর্যন্ত হতে পারে,12,অফিস থেকে ফিরে,6,করতে হবে না,8,আমার মনে হয়,8,বিজ্ঞান প্রযুক্তি বিশ্ববিদ্যালয়ের,6,সামং প্রু মারমা,11,বুকসেলিং মুসলমানদের ১০০১টি,12,ব্লগার স্বপ্নবাজ অভি,9
সংরক্ষিত বিবিধ বাংলা,8,থেকে বের হয়ে,14,রি পোস্ট রম্যরচনাঃ,9,পর্যন্ত লম্বা হতে,12,করা হয় না,6,কথা বলতে গিয়ে,8,আমাদের মহান মুক্তিযুদ্ধের,8,থেকে অনেক বেশী,5,সে যাই হোক,11,আলজেবরা মুসলমানদের ১০০১টি,12,থাকো আমার কাছে,9
এম টি সি,8,তার থেকে অনেক,14,এদিক ওদিক দেখে,9,তরু লতা আশশেওড়া,11,তার চেয়েও বেশী,6,আমি বুঝতে পারি,8,কি দেবি শেঠি,8,আর যায় কোথায়,5,অবাক হয়ে যায়,11,কিংবা বুকসেলিং মুসলমানদের,12,দেখে নেয়া যাক,9
ছিল না কিন্তু,8,আমরা জানি না,14,দেখা যায় না,9,বৈঁচি বাংলার গুল্ম,11,শুধু তাই না,6,আমি মনে মনে,8,আড়াই লক্ষ মা,7,আবেদন করতে পারবেন,5,ইঞ্জিনিয়ার মোহাম্মদ হারুন,11,বীজগনিত আলজেবরা মুসলমানদের,12,সাথে দেখা করতে,9
পুরনো বইয়ের দোকানে,8,বলে আমার জানা,14,না আমি বললাম,9,শিয়ালকাঁটা বাংলার গুল্ম,11,কোন না কোন,6,আমার মনে পড়ে,8,ইমরান এইচ সরকার,7,prothom alo com,5,শরৎ সূর্য বলল,11,করা হয় এই,11,রাশির ব্লগারদের জন্য,9
আইনে প্রজাতি সংরক্ষিত,8,করে দিতে হবে,14,তার সাথে কথা,9,লতা শিয়ালকাঁটা বাংলার,11,করতে না পেরে,6,কিছু এসে যায়,8,কাছে মাথা নত,7,২০১১ ডাবলিন আয়ারল্যান্ড,5,চুপ করে রইলেন,10,উইন্ডমিল মুসলমানদের ১০০১টি,11,শুরু করে দেয়,9
প্রজাতি সংরক্ষিত বিবিধ,8,করতে হয় না,14,২০১৩ সংখ্যায় প্রকাশিত,8,তরু লতা শিয়ালকাঁটা,11,করতে পারলো না,6,কী না কী,7,ত্রিশ লক্ষ শহীদের,7,espncricinfo com pakistan,5,প্রফেসর আশরাফি বললেন,10,জনক বলা হয়,11,আল্লাহ বলছেন আমি,9
হাজার বছর আগের,8,আমি এক ধরনের,14,কিছু না বলে,8,লতা শেওড়া বাংলার,11,পা টিপে টিপে,6,মনে করে যেন,7,ভাষা সৈনিক সফিউদ্দিন,7,alo com detail,5,তানিয়া তাবাসসুম বলল,10,আবিস্কার উইন্ডমিল মুসলমানদের,11,দেখে মনে হচ্ছে,9
থেকে নেওয়া হয়েছে,7,কান পেতে রই,13,ছবি তোলা হল,8,তরু লতা শেওড়া,11,ফিরে আসার সময়,6,থেকে বের হবার,7,একাত্তরে যুদ্ধাপরাধ মানবতাবিরোধী,7,বাংলাদেশ ক্রিকেট বোর্ডের,5,শান্ত আর ফারহান,10,হতে শুরু করল,10,চলেছে কেয়ামত এর,8
বৈশ্বিক বিস্তৃতি রয়েছে,7,এই দেশের ছেলেমেয়েদের,13,লেখাটি মাসিক মৌচাকে,8,তরু লতা শিমুল,11,কিছু বলে না,6,দেয়া যাবে না,7,গত কয়েক দিন,7,তা কিন্তু নয়,5,তাজউদ্দীন আহমদ এর,10,বলা হয়ে থাকে,10,১৬ ডিসেম্বর প্রথম,8
সাথে সেই সাথে,7,কিছু হতে পারে,13,আমাদের দুই ভাইয়ের,8,আশশেওড়া বাংলার গুল্ম,11,অফিস থেকে ফেরার,6,একদিন না একদিন,7,ধর্মীয় উগ্রবাদ তথা,7,করতে পারবে না,5,সৈয়দ আহমেদ নাজীর,10,অনেক বছর আগে,10,পর্ব উৎসর্গ ১৬,8
সেমি পা সেমি,7,সবচেয়ে বড় কথা,13,সিগারেট খাওয়া ছেড়ে,8,লতা আশশেওড়া বাংলার,11,কিছু না বলে,6,মোম এবং সোমা,7,জীবন দিতে হয়েছে,7,গ্রুপ রানার্স আপ,5,বলতে পারি না,10,মেয়েদের জন্য আলাদা,10,নাহি লাগে মোর,8
