 ,Emon Jubayer,Hasan Mahbub,Kandari Athorbo,MZI,Nir Shondhani,Tareque Anu
হয় নি,0,46,0,0,0,34
রাহাত কবির,39,0,0,0,0,0
করতে গিয়ে,0,42,0,0,0,0
দেশের মানুষ,0,0,0,90,0,0
এবং সেই,0,0,0,0,0,31
মনে হল,180,0,0,0,0,52
না আর,0,62,0,0,39,28
মাস সপ্তাহ,0,0,42,0,0,0
প্রোফেসর আশরাফি,46,0,0,0,0,0
হঠাৎ করে,0,0,0,105,0,0
পারছি না,0,0,0,0,39,0
এই দেশের,0,0,0,374,0,0
আর আমার,0,0,29,0,0,0
করার জন্যে,0,57,0,86,0,0
দেখা যাচ্ছে,0,0,32,0,39,0
যেতে পারে,0,43,60,56,0,0
কী না,0,103,0,0,0,0
যাই হোক,62,0,58,0,0,0
দেখা গেল,0,0,0,0,47,42
শুরু করেছে,0,0,0,55,40,0
ব্লগ লিখেছেনঃ,0,0,71,0,0,0
একটু পর,59,0,0,0,0,0
আমি সেটা,0,0,0,64,0,0
পর থেকে,0,0,0,0,32,0
খুব একটা,0,0,0,0,0,31
খুব একটু,0,37,0,0,0,0
দেখা হবে,0,0,0,0,0,28
দু পাশে,32,0,0,0,0,0
বন্ধ করে,0,48,0,0,38,0
চুপ করে,73,0,0,0,0,0
ইনাম আল,0,0,0,0,0,36
সাথে আছে,0,0,0,0,0,30
প্রাচীন বাংলার,34,0,0,0,0,0
দেখা যায়,38,0,49,0,29,71
বড় বড়,0,0,0,100,0,0
আমরা সবাই,0,0,0,79,0,0
আজ পর্যন্ত,0,0,0,0,0,36
জানি না,0,50,0,109,68,0
হয়ে গেল,0,0,0,0,0,28
রাশির ব্লগারদের,0,0,34,0,0,0
দেয়া হয়,0,0,31,0,0,0
বছর আগে,64,0,0,0,28,60
না কেন,33,46,33,0,34,0
আমার সাথে,0,43,38,0,0,0
আমি যখন,0,0,0,65,0,0
এবং তার,0,36,0,0,0,34
না সে,0,57,0,0,41,0
আমার দিকে,0,40,0,0,28,0
এই দেশে,0,0,0,173,0,0
হয়ে থাকে,0,0,51,0,0,0
বেশ ভালো,0,41,0,0,0,0
মনে হয়,93,114,50,164,42,51
বলা হয়,33,0,32,0,0,0
সব কিছু,0,0,36,0,0,0
চলে গেছে,0,0,0,0,34,29
হলো না,0,0,0,0,52,0
দেয়া হলো,0,0,0,0,29,0
অনেক অনেক,0,0,0,0,0,56
সম্ভব নয়,0,0,32,0,0,0
পারে না,36,76,0,104,67,39
জিজ্ঞেস করে,56,0,0,0,0,0
বাংলাদেশ বার্ড,0,0,0,0,0,32
এক কাপ,0,0,27,0,0,0
এর মাঝে,0,0,0,0,0,39
নীল রঙের,38,0,0,0,0,0
কি করে,0,0,38,0,42,0
জানে না,0,0,0,0,46,0
আর কী,0,53,0,0,0,26
কথা বলতে,0,49,0,115,0,0
সবচেয়ে বড়,0,0,0,76,0,0
বলা যায়,0,44,0,0,0,0
যে কোন,0,0,45,0,64,71
একটা সময়,0,0,27,0,0,0
না তবে,28,54,0,0,27,0
আমাদের দেশে,0,0,0,95,0,0
করার চেষ্টা,0,0,0,59,0,0
তার মানে,68,0,0,0,0,0
লাল রঙের,36,0,0,0,0,0
বেঁচে থাকার,0,0,33,0,0,0
আর কোন,0,38,43,0,53,0
খুব ভাল,0,0,28,0,0,0
করতে হবে,0,48,60,102,54,31
তাজউদ্দীন আহমদ,49,0,0,0,0,0
ধীরে ধীরে,36,60,43,0,0,0
হয়ে ওঠে,41,46,0,0,0,0
সে যাই,56,0,0,0,0,0
নামে পরিচিত,35,0,0,0,0,0
এই পোস্টটি,0,0,0,0,0,31
কিছু না,0,43,0,0,33,0
টেবিলের ওপর,54,0,0,0,0,0
সবচেয়ে বেশী,0,0,0,0,0,29
এই মুহূর্তে,47,0,40,0,0,0
যাত্রা শুরু,0,0,0,0,0,44
এই নিয়ে,0,0,34,0,0,0
দেখা হল,0,0,0,0,0,32
যে কারণে,61,0,0,0,0,0
সামহোয়্যার ইন,0,0,60,0,0,0
এত বড়,0,0,0,0,29,0
নতুন করে,0,0,30,0,0,0
শিব এর,42,0,0,0,0,0
চিৎকার করে,33,0,0,0,0,0
পারি না,0,0,0,99,30,0
করা যায়,36,44,0,62,45,0
দেশের মানুষের,0,0,0,69,0,0
বিশেষ করে,0,0,0,0,0,160
মনে হয়,0,0,0,0,0,66
সোয়াচ অভ,57,0,0,0,0,0
করতে পারবে,0,0,0,59,0,0
তাই না,0,54,0,0,0,0
হয়ে গেল,44,0,0,57,100,0
দেয়ার জন্য,0,0,29,0,0,0
তা নয়,0,0,0,79,0,0
মতো করে,0,0,29,0,0,0
নানা ধরনের,0,0,0,0,0,45
না তাই,0,43,0,71,0,0
করে না,0,60,0,57,50,33
তানিয়া তাবাসসুম,51,0,0,0,0,0
বেশ কিছু,0,0,0,0,0,37
কেমন করে,0,0,0,88,0,0
টিকে আছে,0,0,0,0,0,33
গায়ের রং,46,0,0,0,0,0
সে তার,0,53,0,0,0,0
নামের এক,0,0,0,0,0,35
হয় নি,0,0,0,0,0,49
মোশতাক আন্দালিব,65,0,0,0,0,0
ঈসা আঃ,0,0,27,0,0,0
গোবেকলি টেপে,38,0,0,0,0,0
হয়ে যায়,47,103,41,74,80,33
করতে পারে,0,47,31,84,0,36
হাজার হাজার,0,0,0,0,0,30
তার সাথে,0,69,0,0,0,33
আজ থেকে,35,0,0,0,0,0
ভর্তি পরীক্ষা,0,0,0,90,0,0
আর কেউ,0,0,0,0,37,0
আমি আর,29,42,29,0,0,0
কথা বলে,0,44,0,0,0,0
শুরু করলো,0,0,0,0,48,0
প্রশ্ন ফাঁস,0,0,0,72,0,0
বাংলা ব্লগ,0,0,38,0,0,0
আমি আমার,0,0,33,57,0,0
যাবে না,0,46,0,58,51,32
হয়তো বা,0,53,0,0,0,0
যেতে হবে,0,0,0,0,30,0
হয় না,0,0,0,0,0,36
করতে থাকে,0,49,0,0,0,0
কী করে,0,36,0,0,0,30
সাদা রঙের,32,0,0,0,0,0
হয়ে গেছে,40,88,56,82,97,41
করা সম্ভব,0,0,28,0,0,0
হাসনাত ভাই,34,0,0,0,0,0
কিন্তু এই,0,0,0,0,29,0
রবি ঠাকুর,0,0,0,0,0,32
কালো রঙের,49,0,0,0,0,0
হয়ে যাবে,0,50,40,55,38,0
রাখা হয়েছে,0,0,31,0,0,0
ব্যবহার করা,0,0,0,0,0,31
ছিলো না,0,127,0,0,0,0
হবার পর,0,0,0,0,40,0
প্রথমবারের মত,0,0,0,0,0,32
মনে হলো,0,0,31,0,37,0
সাংবাদিক মোশতাক,68,0,0,0,0,0
হাজার বছর,28,0,0,0,0,28
না আমার,0,90,0,72,40,0
নো গ্রাউন্ড,52,0,0,0,0,0
বলল আমি,38,0,0,0,0,0
আমি তার,0,43,0,0,0,0
না বলে,0,0,0,0,41,0
মেঝের ওপর,31,0,0,0,0,0
না আমি,45,106,0,121,50,0
হতে পারে,44,105,97,157,57,58
মনে করেন,33,0,0,0,0,0
মনে করে,0,43,0,0,0,0
হবে না,31,115,28,118,72,34
না না,31,0,0,0,0,0
যে কোনো,0,0,0,60,0,0
মাঝে মাঝে,0,0,61,0,60,69
মনে আছে,0,0,0,63,0,0
কেউ নেই,0,0,0,0,37,0
বছর ধরে,0,0,0,0,27,43
আমাদের দেশের,0,0,0,164,0,0
নিজের চোখে,0,0,0,58,0,0
ঠিক তখনই,31,0,0,0,0,0
করা হয়,0,0,52,0,0,37
লিখেছেনঃ মাস,0,0,46,0,0,0
বটে কিন্তু,0,0,0,0,0,27
চলে যায়,52,0,0,0,0,0
আমার ধারণা,0,0,0,69,0,0
করা হয়েছে,0,0,56,92,29,27
যাবার পর,0,0,0,0,38,0
হয়ে গেলো,0,44,0,0,0,0
কেউ কেউ,0,0,0,0,35,0
অবাক হয়ে,40,0,0,0,0,0
বের করে,35,51,0,82,36,0
কাজ করে,0,0,48,66,0,26
আমি জানি,0,44,0,113,0,0
অন্য কোন,0,0,27,0,0,0
আমার কাছে,0,90,56,111,0,26
একটা সিগারেট,0,0,30,0,0,0
থেকে শুরু,0,0,0,0,0,37
করার জন্য,33,0,61,150,49,42
করা হয়,45,0,95,100,0,34
মঙ্গল ভট্টারক,32,0,0,0,0,0
সে রকম,0,0,0,71,0,0
যাচ্ছে না,0,0,0,0,32,0
কাছ থেকে,0,83,79,0,60,27
থাকে না,0,0,0,0,42,0
পারবে না,0,37,0,96,37,0
মনে হচ্ছে,0,39,43,0,29,40
খবরের কাগজে,0,0,0,63,0,0
আর আমি,0,47,0,0,0,0
বের হয়ে,0,0,42,58,0,0
এর সঙ্গে,39,0,0,0,0,0
করতে পারি,0,0,0,82,0,0
ইন ব্লগ,0,0,36,0,0,0
আর এই,0,0,33,0,0,0
না কিন্তু,0,42,0,114,106,53
অভ নো,57,0,0,0,0,0
দিতে হবে,0,0,30,58,35,0
করা হলো,0,0,0,0,29,0
দিকে তাকিয়ে,44,43,36,61,46,0
জিজ্ঞেস করল,34,0,0,0,0,0
এক ধরনের,0,0,0,124,0,0
আমার খুব,0,0,0,58,0,0
না করে,0,39,29,62,33,0
যায় না,35,84,0,81,64,28
জানা গেল,0,0,0,0,0,28
তার কাছে,0,44,32,0,0,0
প্রফেসর আশরাফি,105,0,0,0,0,0
কে জানে,0,42,0,0,0,0
শুরু করে,0,42,84,73,47,57
কী যেন,41,0,0,0,0,0
হতে থাকে,0,52,0,0,0,0
আমি তোমার,0,0,28,0,0,0
আমার মনে,0,0,0,103,0,0
কিছু একটা,0,44,0,64,0,0
অধ্যাপক মোশাররফ,77,0,0,0,0,0
সাথে সাথে,0,0,30,0,38,76
সাথে দেখা,0,0,0,0,0,37
করা হয়েছে,0,0,0,0,0,36
দেখা মিলল,0,0,0,0,0,43
বলে মনে,68,0,30,0,0,0
হল না,46,0,0,0,0,0
না তার,0,75,0,0,0,0
মন খারাপ,0,0,0,62,0,0
না এই,0,49,0,73,44,0
শেষ পর্যন্ত,0,0,0,71,0,0
সেটা নিয়ে,0,0,0,70,0,0
খুব বেশি,0,42,0,0,0,0
এখন আর,0,46,34,0,0,0
ছিল না,73,0,26,75,128,106
সেখান থেকে,0,0,32,0,0,42
কুকুটেনি ট্রাইপিলিয়ানস,37,0,0,0,0,0
করে সে,0,42,0,0,0,0
না তবু,0,0,0,0,33,0
সেই সাথে,0,0,0,0,0,172
করা হল,0,0,0,0,0,30
এই যে,0,58,0,0,0,0
করতে হয়,0,0,0,76,28,0
পাওয়া যায়,0,0,45,0,0,28
হয় না,58,120,0,155,94,32
মনে মনে,0,0,0,0,63,0