,Normal_tareque_anu1.doc,Normal_tareque_anu10.doc,Normal_tareque_anu100.doc,Normal_tareque_anu101.doc,Normal_tareque_anu102.doc,Normal_tareque_anu103.doc,Normal_tareque_anu104.doc,Normal_tareque_anu105.doc,Normal_tareque_anu106.doc,Normal_tareque_anu107.doc,Normal_tareque_anu108.doc,Normal_tareque_anu109.doc,Normal_tareque_anu11.doc,Normal_tareque_anu110.doc,Normal_tareque_anu111.doc,Normal_tareque_anu112.doc,Normal_tareque_anu113.doc,Normal_tareque_anu114.doc,Normal_tareque_anu115.doc,Normal_tareque_anu116.doc,Normal_tareque_anu117.doc,Normal_tareque_anu118.doc,Normal_tareque_anu119.doc,Normal_tareque_anu12.doc,Normal_tareque_anu120.doc,Normal_tareque_anu121.doc,Normal_tareque_anu122.doc,Normal_tareque_anu123.doc,Normal_tareque_anu124.doc,Normal_tareque_anu125.doc,Normal_tareque_anu126.doc,Normal_tareque_anu127.doc,Normal_tareque_anu128.doc,Normal_tareque_anu129.doc,Normal_tareque_anu13.doc,Normal_tareque_anu130.doc,Normal_tareque_anu131.doc,Normal_tareque_anu132.doc,Normal_tareque_anu133.doc,Normal_tareque_anu134.doc,Normal_tareque_anu135.doc,Normal_tareque_anu136.doc,Normal_tareque_anu137.doc,Normal_tareque_anu138.doc,Normal_tareque_anu139.doc,Normal_tareque_anu14.doc,Normal_tareque_anu140.doc,Normal_tareque_anu141.doc,Normal_tareque_anu142.doc,Normal_tareque_anu143.doc,Normal_tareque_anu144.doc,Normal_tareque_anu145.doc,Normal_tareque_anu146.doc,Normal_tareque_anu147.doc,Normal_tareque_anu148.doc,Normal_tareque_anu149.doc,Normal_tareque_anu15.doc,Normal_tareque_anu150.doc,Normal_tareque_anu151.doc,Normal_tareque_anu152.doc,Normal_tareque_anu153.doc,Normal_tareque_anu154.doc,Normal_tareque_anu155.doc,Normal_tareque_anu156.doc,Normal_tareque_anu157.doc,Normal_tareque_anu158.doc,Normal_tareque_anu159.doc,Normal_tareque_anu16.doc,Normal_tareque_anu160.doc,Normal_tareque_anu161.doc,Normal_tareque_anu17.doc,Normal_tareque_anu18.doc,Normal_tareque_anu19.doc,Normal_tareque_anu2.doc,Normal_tareque_anu20.doc,Normal_tareque_anu21.doc,Normal_tareque_anu22.doc,Normal_tareque_anu24.doc,Normal_tareque_anu25.doc,Normal_tareque_anu26.doc,Normal_tareque_anu27.doc,Normal_tareque_anu28.doc,Normal_tareque_anu29.doc,Normal_tareque_anu3.doc,Normal_tareque_anu30.doc,Normal_tareque_anu31.doc,Normal_tareque_anu32.doc,Normal_tareque_anu33.doc,Normal_tareque_anu34.doc,Normal_tareque_anu35.doc,Normal_tareque_anu36.doc,Normal_tareque_anu37.doc,Normal_tareque_anu38.doc,Normal_tareque_anu39.doc,Normal_tareque_anu4.doc,Normal_tareque_anu40.doc,Normal_tareque_anu41.doc,Normal_tareque_anu42.doc,Normal_tareque_anu43.doc,Normal_tareque_anu44.doc,Normal_tareque_anu45.doc,Normal_tareque_anu46.doc,Normal_tareque_anu47.doc,Normal_tareque_anu48.doc,Normal_tareque_anu49.doc,Normal_tareque_anu5.doc,Normal_tareque_anu50.doc,Normal_tareque_anu51.doc,Normal_tareque_anu52.doc,Normal_tareque_anu53.doc,Normal_tareque_anu54.doc,Normal_tareque_anu55.doc,Normal_tareque_anu56.doc,Normal_tareque_anu57.doc,Normal_tareque_anu58.doc,Normal_tareque_anu59.doc,Normal_tareque_anu6.doc,Normal_tareque_anu60.doc,Normal_tareque_anu61.doc,Normal_tareque_anu62.doc,Normal_tareque_anu63.doc,Normal_tareque_anu64.doc,Normal_tareque_anu65.doc,Normal_tareque_anu66.doc,Normal_tareque_anu67.doc,Normal_tareque_anu68.doc,Normal_tareque_anu69.doc,Normal_tareque_anu7.doc,Normal_tareque_anu70.doc,Normal_tareque_anu71.doc,Normal_tareque_anu72.doc,Normal_tareque_anu73.doc,Normal_tareque_anu74.doc,Normal_tareque_anu75.doc,Normal_tareque_anu76.doc,Normal_tareque_anu77.doc,Normal_tareque_anu78.doc,Normal_tareque_anu79.doc,Normal_tareque_anu8.doc,Normal_tareque_anu80.doc,Normal_tareque_anu81.doc,Normal_tareque_anu82.doc,Normal_tareque_anu83.doc,Normal_tareque_anu84.doc,Normal_tareque_anu85.doc,Normal_tareque_anu86.doc,Normal_tareque_anu87.doc,Normal_tareque_anu88.doc,Normal_tareque_anu89.doc,Normal_tareque_anu9.doc,Normal_tareque_anu90.doc,Normal_tareque_anu91.doc,Normal_tareque_anu92.doc,Normal_tareque_anu93.doc,Normal_tareque_anu94.doc,Normal_tareque_anu95.doc,Normal_tareque_anu96.doc,Normal_tareque_anu97.doc,Normal_tareque_anu98.doc,Normal_tareque_anu99.doc
1,0.0,0.8,0.0,0.0,5.88235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.936507936507936,0.0,0.0,0.0,0.0,0.0,5.555555555555555,0.0,0.0,0.0,0.0,2.9787234042553195,0.0,0.0,0.0,0.0,6.25,0.0,4.597701149425287,0.0,0.0,0.0,0.0,7.142857142857142,0.0,0.0,33.33333333333333,2.3255813953488373,0.0,7.6923076923076925,0.0,0.0,4.472222222222221,2.5,0.0,3.3333333333333335,1.3513513513513513,0.0,0.0,1.3333333333333335,0.0,2.941176470588235,0.0,0.0,0.0,0.0,3.6585365853658534,0.0,0.0,0.0,3.0303030303030303,0.0,0.0,0.0,0.0,3.3333333333333335,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.246376811594203,0.0,3.225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3255813953488373,6.25,0.0,2.1739130434782608,0.0,0.0,5.88235294117647,0.0,1.8867924528301887,0.0,0.0,0.8130081300813009,0.0,2.564102564102564,4.444444444444445,0.0,1.7241379310344827,6.666666666666667,0.0,0.0,0.0,0.0,4.189435336976321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4925373134328357,0.0,0.0
2,3.125,0.0,3.7037037037037033,3.7037037037037033,11.76470588235294,0.0,0.0,0.0,2.3255813953488373,0.0,0.0,0.0,0.0,0.0,5.555555555555555,0.0,0.0,0.0,2.3255813953488373,3.8461538461538463,0.0,4.918032786885246,1.7543859649122806,1.1111111111111112,0.0,3.7037037037037033,7.6923076923076925,0.0,4.680851063829787,0.0,4.651162790697675,0.0,0.0,0.0,2.564102564102564,3.4482758620689653,0.0,2.2222222222222223,2.7027027027027026,0.0,1.7857142857142856,1.6666666666666667,0.0,9.523809523809524,4.651162790697675,2.127659574468085,2.564102564102564,0.0,0.0,9.86111111111111,0.0,4.166666666666666,0.0,5.405405405405405,0.0,3.8461538461538463,1.3333333333333335,0.0,0.0,4.0,0.0,4.166666666666666,2.564102564102564,2.4390243902439024,7.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,1.36986301369863,6.666666666666667,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,4.761904761904762,3.3333333333333335,0.0,0.0,3.0303030303030303,2.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,4.545454545454546,0.0,0.0,9.090909090909092,3.225806451612903,0.0,0.0,2.941176470588235,2.380952380952381,2.7777777777777777,2.3255813953488373,2.941176470588235,2.272727272727273,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,4.081632653061225,2.1739130434782608,0.0,0.0,7.142857142857142,0.0,5.88235294117647,0.0,0.0,0.0,0.0,0.0,0.0,2.3255813953488373,0.0,6.896551724137931,0.0,0.0,1.4492753623188406,5.88235294117647,0.0,3.7735849056603774,0.0,1.7543859649122806,0.0,0.0,7.6923076923076925,0.0,0.0,4.022988505747127,0.0,0.0,0.0,0.0,6.451612903225806,1.092896174863388,0.0,0.0,0.0,3.0303030303030303,3.225806451612903,0.0,0.0,1.6,0.0,0.0,2.9850746268656714,0.0,0.0
3,0.0,0.8,0.0,3.7037037037037033,5.88235294117647,2.7027027027027026,3.8461538461538463,0.0,2.3255813953488373,0.0,6.666666666666667,0.0,1.6129032258064515,0.0,0.0,3.8461538461538463,0.0,4.761904761904762,2.3255813953488373,0.0,2.272727272727273,1.639344262295082,1.7543859649122806,3.3333333333333335,1.3333333333333335,3.7037037037037033,0.0,0.0,8.936170212765958,0.0,2.3255813953488373,0.0,0.0,0.0,0.0,6.896551724137931,4.545454545454546,0.0,2.7027027027027026,0.0,3.571428571428571,1.6666666666666667,0.0,4.761904761904762,2.3255813953488373,0.0,0.0,0.0,0.0,4.472222222222221,5.0,0.0,3.3333333333333335,2.7027027027027026,0.0,0.0,4.0,0.0,5.88235294117647,0.0,0.0,0.0,2.564102564102564,2.4390243902439024,0.0,1.7857142857142856,2.3255813953488373,3.0303030303030303,3.125,8.333333333333332,0.0,1.36986301369863,0.0,0.0,0.0,0.0,0.0,0.0,3.125,0.0,0.0,0.0,4.25531914893617,0.0,0.0,2.7777777777777777,2.857142857142857,0.0,0.0,0.0,2.380952380952381,0.0,0.0,20.0,2.898550724637681,3.0303030303030303,0.0,0.0,2.3255813953488373,2.941176470588235,0.0,0.0,0.0,2.941176470588235,2.272727272727273,0.0,6.25,0.0,6.122448979591836,0.0,4.545454545454546,2.0408163265306123,2.1739130434782608,0.0,4.444444444444445,14.285714285714285,0.0,0.0,0.0,9.090909090909092,4.3478260869565215,0.0,0.0,0.0,2.3255813953488373,0.0,0.0,0.0,0.0,1.4492753623188406,0.0,1.4814814814814816,3.7735849056603774,6.0,0.0,0.0,2.7027027027027026,2.564102564102564,0.0,6.557377049180328,4.597701149425287,0.0,2.857142857142857,0.0,0.0,6.451612903225806,1.4571948998178506,0.0,5.555555555555555,8.333333333333332,6.0606060606060606,6.451612903225806,0.0,0.0,2.8000000000000003,0.0,10.0,2.9850746268656714,0.0,0.8620689655172413
4,0.0,0.8,3.7037037037037033,0.0,23.52941176470588,5.405405405405405,0.0,9.433962264150944,9.30232558139535,0.0,0.0,2.3255813953488373,0.0,0.0,0.0,0.0,0.0,1.5873015873015872,0.0,0.0,0.0,4.918032786885246,0.0,2.2222222222222223,2.666666666666667,3.7037037037037033,0.0,3.8461538461538463,10.638297872340425,0.0,2.3255813953488373,0.0,4.761904761904762,0.0,0.0,10.344827586206897,4.545454545454546,4.444444444444445,5.405405405405405,1.9607843137254901,3.571428571428571,0.5555555555555556,1.4705882352941175,4.761904761904762,16.27906976744186,2.127659574468085,0.0,0.0,0.0,5.805555555555555,5.0,8.333333333333332,0.0,4.054054054054054,0.0,0.0,2.666666666666667,0.0,2.941176470588235,8.0,0.0,4.166666666666666,1.282051282051282,3.6585365853658534,0.0,1.7857142857142856,0.0,1.5151515151515151,6.25,0.0,0.0,0.0,0.0,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,9.523809523809524,0.0,0.0,3.7037037037037033,0.0,2.7777777777777777,5.714285714285714,0.0,6.0606060606060606,6.666666666666667,2.380952380952381,0.0,0.0,0.0,1.4492753623188406,0.0,6.451612903225806,4.761904761904762,0.0,2.941176470588235,11.904761904761903,0.0,2.3255813953488373,8.823529411764707,0.0,0.0,3.125,0.0,4.081632653061225,9.090909090909092,0.0,2.0408163265306123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3478260869565215,3.7037037037037033,0.0,0.0,2.3255813953488373,0.0,0.0,4.3478260869565215,0.0,1.4492753623188406,5.88235294117647,1.4814814814814816,5.660377358490567,0.0,3.508771929824561,0.8130081300813009,0.0,7.6923076923076925,4.444444444444445,8.19672131147541,5.747126436781609,3.3333333333333335,0.0,0.0,0.0,3.225806451612903,1.092896174863388,0.0,2.7777777777777777,8.333333333333332,6.0606060606060606,0.0,5.714285714285714,15.0,5.6000000000000005,2.564102564102564,0.0,0.0,1.1363636363636365,1.7241379310344827
5,0.0,3.2,0.0,7.4074074074074066,11.76470588235294,0.0,3.8461538461538463,0.0,0.0,16.666666666666664,6.666666666666667,2.3255813953488373,0.0,0.0,0.0,3.8461538461538463,0.0,0.0,2.3255813953488373,11.538461538461538,6.8181818181818175,3.278688524590164,5.263157894736842,2.2222222222222223,1.3333333333333335,7.4074074074074066,0.0,0.0,4.680851063829787,0.0,6.976744186046512,0.0,4.761904761904762,6.25,0.0,3.4482758620689653,0.0,4.444444444444445,2.7027027027027026,1.9607843137254901,3.571428571428571,0.0,1.4705882352941175,0.0,0.0,2.127659574468085,0.0,0.0,0.0,6.972222222222222,5.0,0.0,0.0,4.054054054054054,8.333333333333332,3.8461538461538463,2.666666666666667,0.0,0.0,0.0,0.0,4.166666666666666,5.128205128205128,0.0,7.142857142857142,1.7857142857142856,4.651162790697675,1.5151515151515151,3.125,4.166666666666666,1.4492753623188406,4.10958904109589,0.0,4.0,0.0,5.263157894736842,0.0,0.0,0.0,1.9230769230769231,9.523809523809524,0.0,4.25531914893617,0.0,3.0303030303030303,0.0,2.857142857142857,0.0,6.0606060606060606,0.0,2.380952380952381,0.0,0.0,0.0,5.797101449275362,0.0,9.67741935483871,0.0,2.3255813953488373,2.941176470588235,2.380952380952381,0.0,2.3255813953488373,8.823529411764707,2.272727272727273,0.0,0.0,8.0,2.0408163265306123,6.0606060606060606,0.0,4.081632653061225,4.3478260869565215,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,3.7037037037037033,4.0,3.8461538461538463,4.651162790697675,0.0,3.4482758620689653,6.521739130434782,6.25,4.3478260869565215,0.0,3.7037037037037033,1.8867924528301887,4.0,10.526315789473683,5.691056910569105,0.0,2.564102564102564,0.0,4.918032786885246,5.172413793103448,0.0,0.0,7.4074074074074066,8.695652173913043,0.0,0.36429872495446264,0.0,11.11111111111111,0.0,9.090909090909092,3.225806451612903,0.0,0.0,6.0,2.564102564102564,0.0,2.9850746268656714,1.1363636363636365,0.0
6,0.0,8.0,3.7037037037037033,11.11111111111111,5.88235294117647,0.0,3.8461538461538463,3.7735849056603774,4.651162790697675,0.0,0.0,2.3255813953488373,4.838709677419355,0.0,0.0,3.8461538461538463,4.761904761904762,1.5873015873015872,6.976744186046512,0.0,2.272727272727273,3.278688524590164,3.508771929824561,2.2222222222222223,0.0,3.7037037037037033,0.0,3.8461538461538463,8.51063829787234,0.0,2.3255813953488373,4.761904761904762,0.0,0.0,2.564102564102564,5.747126436781609,4.545454545454546,2.2222222222222223,5.405405405405405,0.0,1.7857142857142856,2.7777777777777777,4.411764705882353,0.0,16.27906976744186,2.127659574468085,5.128205128205128,0.0,0.0,5.833333333333333,5.0,4.166666666666666,6.666666666666667,0.0,0.0,0.0,2.666666666666667,0.0,8.823529411764707,2.0,2.857142857142857,2.083333333333333,0.0,2.4390243902439024,7.142857142857142,1.7857142857142856,0.0,6.0606060606060606,3.125,4.166666666666666,2.898550724637681,4.10958904109589,3.3333333333333335,8.0,5.405405405405405,0.0,7.142857142857142,0.0,3.125,0.0,0.0,0.0,2.127659574468085,3.7037037037037033,3.0303030303030303,0.0,2.857142857142857,0.0,0.0,6.666666666666667,7.142857142857142,0.0,0.0,40.0,0.0,3.0303030303030303,0.0,4.761904761904762,2.3255813953488373,2.941176470588235,2.380952380952381,5.555555555555555,2.3255813953488373,11.76470588235294,6.8181818181818175,0.0,6.25,4.0,14.285714285714285,0.0,0.0,4.081632653061225,2.1739130434782608,0.0,6.666666666666667,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,2.0,0.0,0.0,12.5,6.896551724137931,2.1739130434782608,6.25,1.4492753623188406,0.0,0.7407407407407408,5.660377358490567,0.0,5.263157894736842,2.4390243902439024,5.405405405405405,2.564102564102564,2.2222222222222223,4.918032786885246,4.022988505747127,3.3333333333333335,14.285714285714285,7.4074074074074066,0.0,0.0,1.2750455373406193,0.0,0.0,0.0,6.0606060606060606,6.451612903225806,2.857142857142857,0.0,7.6,0.0,5.0,2.9850746268656714,2.272727272727273,0.8620689655172413
7,0.0,7.199999999999999,3.7037037037037033,7.4074074074074066,0.0,5.405405405405405,0.0,5.660377358490567,0.0,0.0,0.0,2.3255813953488373,1.6129032258064515,0.0,0.0,7.6923076923076925,14.285714285714285,1.5873015873015872,2.3255813953488373,0.0,2.272727272727273,3.278688524590164,1.7543859649122806,5.555555555555555,1.3333333333333335,7.4074074074074066,0.0,0.0,7.234042553191489,0.0,2.3255813953488373,4.761904761904762,0.0,0.0,0.0,6.896551724137931,9.090909090909092,2.2222222222222223,0.0,3.9215686274509802,1.7857142857142856,3.3333333333333335,5.88235294117647,9.523809523809524,9.30232558139535,2.127659574468085,2.564102564102564,0.0,0.0,7.611111111111112,0.0,4.166666666666666,0.0,8.108108108108109,0.0,0.0,2.666666666666667,8.333333333333332,2.941176470588235,0.0,0.0,2.083333333333333,3.8461538461538463,4.878048780487805,0.0,7.142857142857142,2.3255813953488373,4.545454545454546,3.125,4.166666666666666,5.797101449275362,4.10958904109589,3.3333333333333335,0.0,0.0,0.0,7.142857142857142,0.0,3.125,0.0,9.523809523809524,3.3333333333333335,0.0,3.7037037037037033,0.0,5.555555555555555,2.857142857142857,0.0,12.121212121212121,0.0,4.761904761904762,0.0,4.545454545454546,0.0,2.898550724637681,6.0606060606060606,3.225806451612903,4.761904761904762,4.651162790697675,5.88235294117647,4.761904761904762,5.555555555555555,2.3255813953488373,2.941176470588235,2.272727272727273,0.0,3.125,4.0,4.081632653061225,12.121212121212121,4.545454545454546,10.204081632653061,10.869565217391305,0.0,2.2222222222222223,0.0,0.0,5.88235294117647,7.142857142857142,0.0,8.695652173913043,3.7037037037037033,0.0,3.8461538461538463,2.3255813953488373,6.25,0.0,6.521739130434782,0.0,5.797101449275362,11.76470588235294,3.7037037037037033,3.7735849056603774,2.0,7.017543859649122,2.4390243902439024,0.0,0.0,6.666666666666667,11.475409836065573,5.747126436781609,6.666666666666667,2.857142857142857,7.4074074074074066,0.0,0.0,2.5500910746812386,11.11111111111111,0.0,0.0,6.0606060606060606,0.0,2.857142857142857,0.0,9.6,0.0,5.0,0.0,1.1363636363636365,3.4482758620689653
8,0.0,6.4,3.7037037037037033,7.4074074074074066,5.88235294117647,2.7027027027027026,3.8461538461538463,0.0,4.651162790697675,0.0,6.666666666666667,2.3255813953488373,4.838709677419355,0.0,0.0,3.8461538461538463,4.761904761904762,4.761904761904762,0.0,3.8461538461538463,2.272727272727273,1.639344262295082,1.7543859649122806,4.444444444444445,0.0,3.7037037037037033,0.0,0.0,4.25531914893617,0.0,2.3255813953488373,0.0,9.523809523809524,6.25,2.564102564102564,3.4482758620689653,4.545454545454546,0.0,2.7027027027027026,1.9607843137254901,1.7857142857142856,1.6666666666666667,1.4705882352941175,0.0,4.651162790697675,6.382978723404255,2.564102564102564,0.0,0.0,3.7777777777777777,2.5,0.0,0.0,1.3513513513513513,0.0,7.6923076923076925,4.0,0.0,0.0,2.0,0.0,2.083333333333333,1.282051282051282,2.4390243902439024,0.0,5.357142857142857,2.3255813953488373,6.0606060606060606,3.125,4.166666666666666,4.3478260869565215,8.21917808219178,0.0,0.0,2.7027027027027026,0.0,7.142857142857142,7.6923076923076925,0.0,1.9230769230769231,0.0,10.0,2.127659574468085,0.0,3.0303030303030303,0.0,0.0,0.0,0.0,0.0,4.761904761904762,3.7037037037037033,9.090909090909092,0.0,0.0,3.0303030303030303,0.0,14.285714285714285,2.3255813953488373,5.88235294117647,9.523809523809524,11.11111111111111,2.3255813953488373,2.941176470588235,4.545454545454546,0.0,9.375,0.0,4.081632653061225,3.0303030303030303,0.0,2.0408163265306123,8.695652173913043,0.0,2.2222222222222223,0.0,0.0,0.0,3.571428571428571,0.0,0.0,7.4074074074074066,2.0,7.6923076923076925,4.651162790697675,0.0,3.4482758620689653,2.1739130434782608,0.0,1.4492753623188406,0.0,2.2222222222222223,3.7735849056603774,8.0,8.771929824561402,8.130081300813007,2.7027027027027026,0.0,15.555555555555555,4.918032786885246,6.896551724137931,3.3333333333333335,0.0,7.4074074074074066,0.0,6.451612903225806,3.4608378870673953,11.11111111111111,0.0,0.0,0.0,6.451612903225806,5.714285714285714,5.0,5.6000000000000005,0.0,5.0,0.0,3.4090909090909087,3.4482758620689653
